ciudades,x,y
Gustavo A. Madero,0.603244,0.460621
San Fernando,0.623385,0.569956
Gustavo DÃ­az Ordaz,0.608631,0.646459
Zumpango,0.592009,0.290783
Zumpango del RÃ­o,0.577937,0.172304
ZimatlÃ¡n de Ãlvarez,0.668376,0.128981
Zimapan,0.582696,0.342819
Zaragoza,0.642953,0.289361
ZacualtipÃ¡n,0.606628,0.337948
ZacatlÃ¡n,0.629557,0.298356
Zacatepec,0.643688,0.261466
Zacatepec,0.589005,0.227615
Villa de Zaachila,0.66953,0.13349
Estado de YucatÃ¡n,0.925155,0.348081
Yecapixtla,0.599743,0.240298
Yautepec,0.593075,0.240218
YajalÃ³n,0.815206,0.145749
Xoxocotla,0.587173,0.229337
XonacatlÃ¡n,0.577871,0.269139
Xochitepec,0.587685,0.234653
Xochimilco,0.591822,0.260999
Xicotepec de JuÃ¡rez,0.629559,0.317278
Xico,0.660993,0.27006
San Miguel Xico Viejo,0.597405,0.261682
Santa Ana Xalmimilulco,0.615759,0.258472
Ãlvaro ObregÃ³n,0.588584,0.266571
Villahermosa,0.795509,0.190749
Gustavo A. Madero,0.591669,0.273839
Villa CuauhtÃ©moc Otzolotepec,0.57686,0.269782
Estado de Veracruz-Llave,0.672258,0.265171
Veracruz,0.689536,0.256748
Venustiano Carranza,0.807626,0.0996892
Valle Hermoso,0.634484,0.615519
Valladolid,0.951566,0.340054
UniÃ³n Hidalgo,0.73286,0.107032
Uman,0.900531,0.350778
Tuxtla GutiÃ©rrez,0.789479,0.122919
Tuxpan de RodrÃ­guez Cano,0.647805,0.354957
TultitlÃ¡n,0.589749,0.282539
Tultepec,0.591066,0.284609
Tulancingo,0.616292,0.306642
Tula de Allende,0.583943,0.304872
Trinidad Zaachila,0.669053,0.131853
Toluca,0.573742,0.262657
Tlaxco,0.624319,0.280707
Tlaxcoapan,0.588019,0.307084
Tlazcalancingo,0.61893,0.248329
Estado de Tlaxcala,0.622779,0.269777
Tlaquiltenango,0.589943,0.226678
Tlapa de Comonfort,0.60916,0.166071
Tlapacoyan,0.654289,0.299957
Tlanalapan,0.652157,0.260611
TlaltizapÃ¡n,0.591337,0.229387
Tlalpan,0.589752,0.263167
Tlalnepantla,0.588845,0.276597
Tlalmanalco de VelÃ¡zquez,0.601842,0.258247
Tlahuac,0.595185,0.262415
Tlacolula de Matamoros,0.678551,0.133697
TizimÃ­n,0.953155,0.365188
Tizayuca,0.596079,0.293022
Tixtla de Guerrero,0.582162,0.167558
Tixkokob,0.912131,0.357415
Tihuatlan,0.64367,0.341512
Tierra Colorada,0.577904,0.145304
Ticul,0.907494,0.324037
Santiago TÃ­anguistenco,0.579904,0.256709
Tezontepec de Aldama,0.586242,0.312562
Teziutlan,0.64939,0.291921
Texcoco de Mora,0.599152,0.275043
Tetela del VolcÃ¡n,0.604205,0.240836
Tequixquiac,0.590516,0.297014
Tequisquiapan,0.565877,0.3309
CuautitlÃ¡n Izcalli,0.588165,0.282336
TepoztlÃ¡n,0.59202,0.245974
TepotzotlÃ¡n,0.587911,0.286533
Tepeji de Ocampo,0.583976,0.296841
Tepeapulco,0.610046,0.290324
Tepeaca,0.631551,0.245046
Tepatlaxco de Hidalgo,0.6294,0.250476
Tepatepec,0.592327,0.315599
Tepalcingo,0.600468,0.224406
Teopisca,0.810495,0.110965
Teoloyucan,0.5894,0.287969
Tenosique de Pino SuÃ¡rez,0.845209,0.162339
Tenango de Arista,0.575834,0.25252
Tenancingo de Degollado,0.575714,0.244617
Tempoal de SÃ¡nchez,0.615468,0.386034
Temixco,0.587679,0.238747
Temascalcingo de JosÃ© MarÃ­a Velazco,0.562182,0.297396
Temapache,0.640083,0.360947
Teloloapan,0.566665,0.211781
Tecax,0.915747,0.313362
TehuacÃ¡n,0.648305,0.216981
Tecamachalco,0.637139,0.240213
Teapa,0.794789,0.166584
Taxco de AlarcÃ³n,0.575336,0.222221
Tapachula,0.817558,0.0205108
Tantoyuca,0.620831,0.376674
Tamuin,0.602556,0.412872
Tampico,0.63264,0.427942
Tamazunchale,0.602238,0.37166
Estado de Tamaulipas,0.603536,0.523113
Estado de Tabasco,0.804204,0.191473
Brisas Barra de Suchiate,0.818802,0
Suchiapa,0.789886,0.115503
Soledad de Doblado,0.680348,0.249309
Sayula de AlemÃ¡n,0.728552,0.184886
Santo Domingo Tehuantepec,0.719285,0.09887
Santiago Tuxtla,0.71732,0.217217
SecciÃ³n Primera Santiago Tetla,0.624843,0.270667
Santiago Pinotepa Nacional,0.626452,0.099635
Santiago MiahuatlÃ¡n,0.646832,0.22161
Santiago Tulantepec,0.61652,0.303993
Santa MarÃ­a Xonacatepec,0.624859,0.25169
Moyotzingo,0.614926,0.260547
Santa MarÃ­a Coronango,0.618159,0.253494
Santa MarÃ­a ChimalhuacÃ¡n,0.596927,0.270047
Heroica Ciudad de Tlaxiaco,0.638815,0.151077
Santa Cruz XoxocotlÃ¡n,0.669998,0.137835
Tecamac de Felipe Villanueva,0.596314,0.28615
Nextlalpan,0.592982,0.287877
Chiautempan,0.621094,0.263678
San SebastiÃ¡n Zinacatepec,0.653218,0.210037
San Salvador El Seco,0.640096,0.254112
San Salvador Atenco,0.597973,0.277241
San Pedro Pochutla,0.678877,0.0668801
San Pedro Los BaÃ±os,0.568185,0.281313
San Pablo de las Salinas,0.592147,0.283597
San Pablo Autopan,0.57361,0.266445
San Pablo Atlazalpan,0.598286,0.258737
San Miguel Zinacantepec,0.57108,0.26246
San Miguel Xoxtla,0.618109,0.256041
CoatlinchÃ¡n,0.599488,0.271619
San Miguel Canoa,0.624877,0.255145
San Matias Tlalancaleca,0.611828,0.26473
San Mateo Atenco,0.577736,0.261536
San Martin Texmelucan de Labastida,0.6138,0.262461
San MartÃ­n de las PirÃ¡mides,0.600715,0.285759
San Marcos,0.584294,0.305705
San Marcos,0.582451,0.125019
Teolocholco,0.621982,0.260196
TeotihuacÃ¡n de Arista,0.599839,0.284765
San Juan del RÃ­o,0.562434,0.323455
San Juan de las Huertas,0.570275,0.260429
Tuxtepec,0.690115,0.196354
San Gabriel Chilac,0.649791,0.209491
San Gabriel Casa Blanca,0.656719,0.199859
San Francisco Tlalcilalcalpan,0.569966,0.263038
San Francisco Acuautla,0.600054,0.265715
Sanctorum,0.619892,0.252228
San CristÃ³bal de las Casas,0.805043,0.121373
San Carlos,0.8541,0.166722
San Bartolo del Llano,0.572075,0.279897
San Bartolo Cuautlalpan,0.594945,0.2918
San Andres Tuxtla,0.720201,0.216274
San AndrÃ©s Calpan,0.61317,0.25249
Salina Cruz,0.720592,0.0910997
RÃ­o Verde,0.562577,0.408715
RÃ­o Bravo,0.625171,0.632957
RÃ­o Blanco,0.657031,0.237867
Reynosa,0.618464,0.637905
Rafael Lara Grajales,0.634925,0.259424
Estado de Quintana Roo,0.941648,0.283596
Estado de QuerÃ©taro de Arteaga,0.565052,0.357293
Puerto Escondido,0.658714,0.0737616
Puente de Ixtla,0.584798,0.225451
Puebla,0.621615,0.249142
Estado de Puebla,0.628276,0.237534
Progreso de Alvaro Obregon,0.589026,0.315799
Progreso de Castro,0.903798,0.373071
Progreso Industrial,0.583518,0.281944
Poza Rica de Hidalgo,0.646107,0.331489
Polanco,0.588693,0.269777
Playa del Carmen,0.988494,0.336698
PlatÃ³n SÃ¡nchez,0.615921,0.372317
Pijijiapan,0.786302,0.0635808
Pichucalco,0.789386,0.164389
Peto,0.927701,0.309081
Perote,0.653271,0.277882
Paso del Macho,0.670352,0.245194
Paraiso,0.786148,0.213647
Papantla de Olarte,0.650544,0.326702
PÃ¡nuco,0.622175,0.415536
Panotla,0.619366,0.264223
Palmarito TochapÃ¡n,0.640187,0.241159
Palenque,0.826774,0.164363
Pachuca de Soto,0.604088,0.308485
Ozumba de Alzate,0.602047,0.248786
Oxkutzkab,0.911364,0.319007
Oteapan,0.738199,0.191601
Orizaba,0.657937,0.238511
Ometepec,0.614819,0.11907
Oluta,0.730662,0.187539
Ocozocoautla de Espinosa,0.780847,0.123062
Ocoyoacac,0.580186,0.26174
Ocosingo,0.823103,0.131026
Oaxaca de JuÃ¡rez,0.670379,0.139816
Estado de Oaxaca,0.677756,0.1362
Estado de Nuevo LeÃ³n,0.562303,0.615235
Nuevo Laredo,0.578256,0.715259
Nogales,0.656116,0.237428
NicolÃ¡s Romero,0.585169,0.281932
Nealtican,0.614209,0.24948
Naucalpan de JuÃ¡rez,0.587385,0.273195
Naranjos,0.638616,0.376687
Villa Nanchital,0.746779,0.195407
Ciudad de Nanacamilpa,0.61062,0.273964
Muna,0.901607,0.32899
Motul,0.915809,0.362583
Motozintla de Mendoza,0.818011,0.0459072
Estado de Morelos,0.59529,0.232928
Montemorelos,0.567956,0.588838
Santiago Momoxpan,0.619471,0.250815
Mixquiahuala de Juarez,0.588232,0.31475
Misantla,0.666147,0.298146
Miramar,0.632911,0.430301
Mineral del Monte,0.606038,0.309735
Minatitlan,0.741934,0.191432
Milpa Alta,0.594526,0.257387
MiahuatlÃ¡n de Porfirio DÃ­az,0.674602,0.0993194
Metepec,0.57544,0.261081
MÃ©rida,0.904804,0.355932
MaxcanÃº,0.892136,0.33433
MatÃ­as Romero,0.725937,0.129513
Heroica Matamoros,0.644632,0.627011
MartÃ­nez de la Torre,0.659258,0.305934
Mapastepec,0.796495,0.0496188
Ursulo GalvÃ¡n,0.617658,0.452794
Maltrata,0.652136,0.236263
Malinaltepec,0.606145,0.149742
Magdalena Contreras,0.588324,0.265104
Macuspana,0.806519,0.178292
Reyes Acozac,0.595924,0.289611
Los Reyes La Paz,0.596046,0.266842
Linares,0.57663,0.570597
Libres,0.637696,0.272053
Lerma de Villada,0.578413,0.26271
Lerdo de Tejada,0.710094,0.22626
Las Margaritas,0.82682,0.0982079
Las Choapas,0.757474,0.187788
La Joya,0.579896,0.228322
La Isla,0.689301,0.224637
La Ceiba,0.631298,0.343633
KanasÃ­n,0.906725,0.35369
Juchitepec de Mariano Riva Palacio,0.599253,0.252398
JuchitÃ¡n de Zaragoza,0.726585,0.105027
Jojutla,0.589343,0.225451
Jiutepec,0.589426,0.240191
Jilotepec de Molina EnrÃ­quez,0.577715,0.299363
Jalpa de MÃ©ndez,0.791131,0.20122
Xalatlaco,0.581487,0.256869
Xalapa de EnrÃ­quez,0.664037,0.27611
Jalacingo,0.651093,0.291149
IzÃºcar de Matamoros,0.612938,0.224721
Izamal,0.924561,0.353721
San JerÃ³nimo Ixtepec,0.723864,0.112905
Ixtapan de la Sal,0.572968,0.238107
Ixtapaluca,0.599155,0.264189
Iztapalapa,0.593076,0.2665
Ixtac ZoquitlÃ¡n,0.659255,0.238734
Iztacalco,0.592064,0.268595
Ixmiquilpan,0.588133,0.328463
Isla Mujeres,1,0.370069
Iguala de la Independencia,0.577498,0.210779
HunucmÃ¡,0.896275,0.358245
Huixtla,0.810828,0.0334027
Huitzuco de los Figueroa,0.584226,0.208424
Huimanguillo,0.780279,0.18229
Huejutla de Reyes,0.614441,0.365031
Huejotzingo,0.61484,0.25556
Huauchinango,0.626465,0.311624
Huatusco de Chicuellar,0.662332,0.254969
Ciudad de Huajuapam de LeÃ³n,0.635548,0.180854
Estado de Hidalgo,0.59529,0.329656
HecelchakÃ¡n,0.887763,0.311822
GutiÃ©rrez Zamora,0.65843,0.327085
Estado de Guerrero,0.562303,0.173049
Frontera Comalapa,0.821484,0.0621592
Frontera,0.804909,0.221501
FortÃ­n de las Flores,0.661263,0.241665
Felipe Carrillo Puerto,0.956648,0.278667
Distrito Federal,0.589792,0.260565
Ezequiel Montes,0.565702,0.338754
EscÃ¡rcega,0.867579,0.22513
Emiliano Zapata,0.589284,0.237724
Emiliano Zapata,0.833903,0.177134
El Tejar,0.68894,0.250855
Ciudad Mante,0.596151,0.453637
El Llano,0.584742,0.305633
Ecatepec,0.593112,0.280864
DzitbalchÃ©,0.890318,0.319628
CunduacÃ¡n,0.787502,0.195097
CuitlÃ¡huac,0.67037,0.236455
Cuilapan de Guerrero,0.668493,0.13496
Cuichapa,0.751621,0.190123
Cuernavaca,0.587678,0.242662
Cuautlancingo,0.619325,0.251672
Cuautla Morelos,0.597086,0.235946
CuautitlÃ¡n,0.589397,0.283796
Cuautepec de Hinojosa,0.618046,0.303986
Cuajimalpa,0.585596,0.266641
San Miguel de Cozumel,0.99291,0.329712
Coyotepec,0.588265,0.289706
CoyoacÃ¡n,0.589955,0.26591
Cosoleacaque,0.739262,0.191359
Heroica Coscomatepec de Bravo,0.659718,0.250768
Cosamaloapan de Carpio,0.700894,0.211791
CÃ³rdoba,0.663531,0.240436
San Bernardino Contla,0.622787,0.264949
ComitÃ¡n,0.821767,0.0944526
Comalcalco,0.785821,0.206019
Coatzintla,0.645818,0.328937
Coatzacoalcos,0.745629,0.19885
Coatepec,0.662534,0.271746
Coacalco,0.591975,0.281819
Ciudad Victoria,0.590474,0.508838
Ciudad Valles,0.59474,0.411645
Ciudad SerdÃ¡n,0.646517,0.246161
Ciudad Sahagun,0.609319,0.289615
Ciudad Nezahualcoyotl,0.594801,0.268889
Ciudad Miguel AlemÃ¡n,0.591991,0.653005
Ciudad Mendoza,0.655399,0.236032
Ciudad Madero,0.633679,0.427616
Ciudad FernÃ¡ndez,0.561917,0.40927
Mexico City,0.591079,0.270429
Ciudad del Carmen,0.831806,0.227175
Cintalapa de Figueroa,0.76952,0.11873
Cholula,0.618264,0.250287
Chilpancingo de los Bravos,0.578606,0.166633
Chilapa de Alvarez,0.589471,0.169065
Chignahuapan,0.62723,0.293102
Chiconcuac,0.598627,0.277666
San Vicente Chicoloapan,0.598522,0.269788
Chichihualco,0.572983,0.172626
ChichÃ©n-ItzÃ¡,0.939449,0.338869
Chiautla de Tapia,0.608373,0.208138
Chiautla,0.59917,0.277089
Estado de Chiapas,0.809702,0.108563
Chiapa de Corzo,0.792819,0.120044
Chetumal,0.94812,0.219891
Chemax,0.96024,0.338286
ChampotÃ³n,0.868228,0.265783
Chalco de DÃ­az Covarrubias,0.598663,0.261214
Cerro Azul,0.636824,0.367905
Catemaco,0.723476,0.21476
Carlos A. Carrillo,0.70235,0.212188
Cardenas,0.574097,0.412646
CÃ¡rdenas,0.78082,0.191548
Capulhuac,0.579923,0.257444
CancÃºn,0.99619,0.366927
Estado de Campeche,0.875675,0.246746
Campeche,0.874762,0.293067
Camargo,0.600451,0.64773
Calpulalpan,0.609483,0.279284
CalkinÃ­,0.89048,0.322418
Calimaya de DÃ­az GonzÃ¡lez,0.574901,0.255769
Cadereyta de Montes,0.568394,0.340589
Cadereyta,0.562853,0.610629
Cacalomacan,0.571994,0.260737
CacahoatÃ¡n,0.820706,0.0252549
Bochil,0.796766,0.135993
